Price,Year,Mileage
5515,2002,32777
6994,2002,80968
4995,2002,89808
4979,2002,91392
4997,2002,94627
6300,2002,96163
4445,2002,98156
7375,2002,101971
5988,2002,106798
3598,2002,117068
9998,2008,29731
10000,2008,34343
8777,2008,36926
10995,2008,36936
10927,2008,37201
10700,2008,38015
9988,2008,38724
7997,2008,42035
9495,2008,42063
10000,2008,42356
10991,2008,42524
19791,2013,264
15991,2013,4304
15555,2013,5414
28888,2013,5648
13900,2013,7634
17995,2013,7768
12987,2013,8605
19990,2013,9233
12995,2013,9618
15995,2013,10266
16990,2013,10542
19700,2013,10707
32200,2018,5
43445,2018,5
31555,2018,9
35895,2018,10
36980,2018,368
26995,2018,1237
